code,company,fiscal_year,quarter,file_type,account_type,consoli_type,submit,zip_id,sales_prior,sales_pct_yoy_prior,sales_current,sales_pct_yoy_current,sales_next,sales_pct_yoy_next,operating_income_prior,operating_income_pct_yoy_prior,operating_income_current,operating_income_pct_yoy_current,operating_income_next,operating_income_pct_yoy_next,operating_income_progress_ratio,operating_income_on_sales_ratio_prior,operating_income_on_sales_ratio_current,operating_income_on_sales_ratio_next,operating_cf_margin_prior,operating_cf_margin_current,ordinary_income_prior,ordinary_income_pct_yoy_prior,ordinary_income_current,ordinary_income_pct_yoy_current,ordinary_income_next,ordinary_income_pct_yoy_next,pretax_income_prior,pretax_income_pct_yoy_prior,pretax_income_current,pretax_income_pct_yoy_current,pretax_income_next,pretax_income_pct_yoy_next,net_income_prior,net_income_pct_yoy_prior,net_income_current,net_income_pct_yoy_current,net_income_next,net_income_pct_yoy_next,net_income_on_sales_prior,net_income_on_sales_current,net_income_on_sales_next,eps_prior,eps_current,eps_next,roe,roa,dividend_prior,dividend_next,payout_ratio_prior,payout_ratio_next,total_assets_prior,total_assets_current,net_assets_prior,net_assets_current,capital_ratio_prior,capital_ratio_current,outstanding_stock_current,treasury_stock_current,operating_cf_prior,operating_cf_current,investing_cf_prior,investing_cf_current,financing_cf_prior,financing_cf_current,cash_prior,cash_current
3989,シェアリングテクノロジー株式会社,2018-09-30,Q4,tanshin,IFRS,連,2018-11-19,TD2018111900055,,,4727000000.0,,8800000000.0,86.1,,,553000000.0,,1700000000.0,207.1,,,11.7,19.3,,-19.9,,,,,,,,,539000000.0,,1620000000.0,200.3,,,695000000.0,,973000000.0,39.9,,14.7,11.1,,38.74,47.73,34.1,5.4,,,,,,10202000000.0,,2031000000.0,,20.0,,,,-941000000.0,,-1710000000.0,,4363000000.0,,3296000000.0
8630,ＳＯＭＰＯホールディングス株式会社,2019-03-31,Q2,tanshin,日本基準,連,2018-11-19,TD2018111900077,1935150000000.0,16.9,1889277000000.0,-2.4,,,,,,,,,,,,,,,3737000000.0,-94.7,27818000000.0,644.3,237000000000.0,67.0,,,,,,,1921000000.0,-95.6,22135000000.0,,170000000000.0,21.6,0.1,1.2,,4.88,59.0,456.46,1.2,,,,,,,12157434000000.0,,1864388000000.0,,15.1,,,,,,,,,,
8630,ＳＯＭＰＯホールディングス株式会社,2019-03-31,Q2,tanshin,日本基準,単,2018-11-19,TD2018111900077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,415352294.0,42925672.0,,,,,,,,
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,2019-03-31,Q2,tanshin,日本基準,連,2018-11-19,TD2018111900039,2889833000000.0,4.5,2962888000000.0,2.5,,,,,,,,,,,,,,,131559000000.0,-12.9,75333000000.0,-42.7,290000000000.0,37.1,,,,,,,75734000000.0,-23.0,46301000000.0,-38.9,200000000000.0,29.8,2.6,1.6,,127.91,78.64,341.17,1.6,,,,,,,23199089000000.0,,2936966000000.0,,12.5,,,,,,,,,,
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,2019-03-31,Q2,tanshin,日本基準,単,2018-11-19,TD2018111900039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,593291754.0,9573284.0,,,,,,,,
8766,東京海上ホールディングス株式会社>>,2019-03-31,Q2,tanshin,日本基準,単,2018-11-19,TD2018111900042,48991000000.0,106.9,141440000000.0,188.7,299000000000.0,31.4,43468000000.0,129.7,133777000000.0,207.8,,,,88.7,94.6,,,,43449000000.0,130.0,133810000000.0,208.0,281000000000.0,30.5,,,,,,,,,,,,,,,,57.88,185.1,390.86,,5.5,,250.0,,,,2428269000000.0,,2425036000000.0,,99.8,719700000.0,3438030.0,,,,,,,,
8766,東京海上ホールディングス株式会社>>,2019-03-31,Q2,tanshin,日本基準,連,2018-11-19,TD2018111900042,,,,,,,,,,,,,,,,,,,119828000000.0,-43.9,75100000000.0,-37.3,455000000000.0,31.9,,,,,,,76778000000.0,-50.6,53885000000.0,-29.8,320000000000.0,12.6,,,,102.7,74.67,445.1,1.5,,,,,,,23301818000000.0,,3697964000000.0,,15.7,,,,,,,,,,
3989,シェアリングテクノロジー株式会社,2018-09-30,Q4,tanshin,IFRS,連,2018-11-19,TD2018111900055,,,4727000000.0,,8800000000.0,86.1,,,553000000.0,,450000000.0,,122.9,,11.7,19.3,,-19.9,,,,,,,,,539000000.0,,1620000000.0,200.3,,,695000000.0,,973000000.0,39.9,,14.7,11.1,,38.74,47.73,34.1,5.4,,,,,,10202000000.0,,2031000000.0,,20.0,,,,-941000000.0,,-1710000000.0,,4363000000.0,,3296000000.0
3989,シェアリングテクノロジー株式会社,2018-09-30,Q4,tanshin,IFRS,単,2018-11-19,TD2018111900055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,18371100.0,219487.0,,,,,,,,
