code,company,file_type,submit,zip_id,accounting,fiscal_year,quarter,consolidated,sales_prior,sales_pct_prior,sales_current,sales_pct_current,sales_forecast,sales_pct_forecast,sales_forecast_next,sales_pct_forecast_next,operating_income_prior,operating_income_pct_prior,operating_income_current,operating_income_pct_current,operating_income_forecast,operating_income_pct_forecast,operating_income_forecast_next,operating_income_pct_forecast_next,operating_income_progress,ordinary_income_prior,ordinary_income_pct_prior,ordinary_income_current,ordinary_income_pct_current,ordinary_income_forecast,ordinary_income_pct_forecast,ordinary_income_forecast_next,ordinary_income_pct_forecast_next,pretax_income_prior,pretax_income_pct_prior,pretax_income_current,pretax_income_pct_current,pretax_income_forecast,pretax_income_pct_forecast,pretax_income_forecast_next,pretax_income_pct_forecast_next,net_income_prior,net_income_pct_prior,net_income_current,net_income_pct_current,net_income_forecast,net_income_pct_forecast,net_income_forecast_next,net_income_pct_forecast_next,eps_prior,eps_current,eps_pct_current,eps_forecast,eps_forecast_next,eps_progress,roe,roa,dividend_prior,dividend_current,dividend_forecast_next,payout_ratio_prior,payout_ratio_current,payout_ratio_forecast_next,total_assets_prior,total_assets_current,net_assets_prior,net_assets_current,capital_ratio_prior,capital_ratio_current,outstanding_stock_current,treasury_stock_current,operating_cf_prior,operating_cf_current,investing_cf_prior,investing_cf_current,financing_cf_prior,financing_cf_current,cash_prior,cash_current
3919,パイプドＨＤ株式会社,tanshin,2020-06-30,TD081220200630455363,日本基準,2021-02-28,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8125264.0,86216.0,,,,,,,,
6264,株式会社マルマエ,tanshin,2020-06-30,TD081220200630454956,日本基準,2020-08-31,Q3,単,2948000000.0,-11.9,3182000000.0,7.9,4364000000.0,8.6,,,357000000.0,-62.2,629000000.0,75.8,858000000.0,73.1,,,73.3,345000000.0,-63.1,600000000.0,73.8,825000000.0,72.9,,,,,,,,,,,225000000.0,-66.4,493000000.0,119.1,648000000.0,48.4,,,17.25,37.97,120.1,50.06,,75.8,8.9,7.3,,,,,,,,8607000000.0,,5508000000.0,,64.0,13053000.0,250196.0,,,,,,,,
6444,サンデンホールディングス株式会社,tanshin,2020-06-30,TD081220200629454722,日本基準,2020-03-31,Q4,連,273934000000.0,-4.8,204880000000.0,-25.2,,,,,889000000.0,-83.7,-3401000000.0,,,,,,,564000000.0,-87.2,-9735000000.0,,,,,,,,,,,,,,-23060000000.0,,2287000000.0,,,,,,-833.58,82.54,-109.9,,,,11.0,-1.8,,,,,,,246401000000.0,187559000000.0,23538000000.0,22699000000.0,7.7,11.1,,,3043000000.0,7219000000.0,-11362000000.0,28452000000.0,2679000000.0,-24677000000.0,13030000000.0,23711000000.0
6444,サンデンホールディングス株式会社,tanshin,2020-06-30,TD081220200629454722,日本基準,2020-03-31,Q4,単,13043000000.0,-16.3,7940000000.0,-39.1,,,,,4908000000.0,-28.0,1518000000.0,-69.1,,,,,,4017000000.0,39.7,-926000000.0,,,,,,,,,,,,,,2506000000.0,-32.1,8312000000.0,231.7,,,,,90.27,298.78,231.0,,,,33.1,1.4,0.0,0.0,0.0,,,,105019000000.0,111462000000.0,16883000000.0,25070000000.0,16.1,22.5,28066313.0,322538.0,,,,,,,,
6740,株式会社ジャパンディスプレイ,tanshin,2020-06-30,TD081220200630455620,日本基準,2020-03-31,Q4,連,636661000000.0,-11.5,504022000000.0,-20.8,,,,,-27230000000.0,,-38536000000.0,,,,,,,-40367000000.0,,-57758000000.0,,,,,,,,,,,,,,-106585000000.0,,-101417000000.0,,,,,,-128.41,-116.05,-9.6,,,,-198.6,-9.9,,,,,,,538502000000.0,389746000000.0,862000000.0,53363000000.0,-0.2,13.1,,,-6604000000.0,-87111000000.0,-36614000000.0,28069000000.0,30968000000.0,57682000000.0,68988000000.0,66380000000.0
6740,株式会社ジャパンディスプレイ,tanshin,2020-06-30,TD081220200630455620,日本基準,2020-03-31,Q4,単,633893000000.0,-9.2,481316000000.0,-24.1,,,,,-38236000000.0,,-49084000000.0,,,,,,,-42615000000.0,,-56280000000.0,,,,,,,,,,,,,,-119586000000.0,,-114965000000.0,,,,,,-144.07,-131.55,-8.7,,,,-1329.2,-13.6,0.0,0.0,0.0,,,,516395000000.0,360392000000.0,-28662000000.0,8761000000.0,-5.6,2.4,846165800.0,3.0,,,,,,,,
7068,株式会社フィードフォース,tanshin,2020-06-30,TD081220200629454840,日本基準,2020-05-31,Q4,連,,,1526000000.0,,1470000000.0,,2376000000.0,55.7,,,415000000.0,,350000000.0,,644000000.0,55.0,118.6,,,371000000.0,,300000000.0,,627000000.0,69.0,,,,,,,,,,,163000000.0,,130000000.0,,358000000.0,119.8,,29.47,,23.49,58.31,125.5,17.1,8.0,,,,,,,,5219000000.0,,1829000000.0,,18.3,,,,424000000.0,,-232000000.0,,1811000000.0,,2183000000.0
7068,株式会社フィードフォース,tanshin,2020-06-30,TD081220200629454840,日本基準,2020-05-31,Q4,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,5632600.0,,,,,,,,,
7485,岡谷鋼機株式会社,tanshin,2020-06-30,TD081220200630454957,日本基準,2021-02-28,Q1,連,234260000000.0,1.3,193565000000.0,-17.4,,,,,5547000000.0,2.9,2786000000.0,-49.8,,,,,,6732000000.0,4.7,4203000000.0,-37.6,,,,,,,,,,,,,4899000000.0,11.1,2752000000.0,-43.8,,,,,509.03,285.97,-43.8,,,,1.3,0.6,,,,,,,,471879000000.0,,216869000000.0,,43.9,,,,,,,,,,
7485,岡谷鋼機株式会社,tanshin,2020-06-30,TD081220200630454957,日本基準,2021-02-28,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9720000.0,94098.0,,,,,,,,
7815,東京ボード工業株式会社,tanshin,2020-06-30,TD081220200630455762,日本基準,2020-03-31,Q4,連,6717000000.0,13.4,7755000000.0,15.5,,,,,-2719000000.0,,-3294000000.0,,,,,,,-2821000000.0,,-3342000000.0,,,,,,,,,,,,,,95000000.0,,1667000000.0,,,,,,37.35,644.81,1626.4,,,,30.5,-17.5,,,,26.8,,,23849000000.0,18798000000.0,4382000000.0,6103000000.0,15.8,29.1,,,1146000000.0,-2040000000.0,44000000.0,9264000000.0,-433000000.0,-6809000000.0,3512000000.0,3926000000.0
7815,東京ボード工業株式会社,tanshin,2020-06-30,TD081220200630455762,日本基準,2020-03-31,Q4,単,5258000000.0,16.0,6389000000.0,21.5,,,,,-3115000000.0,,-3594000000.0,,,,,,,-3143000000.0,,-3580000000.0,,,,,,,,,,,,,,-48000000.0,,1830000000.0,,,,,,-18.81,707.87,-3863.3,,,,39.5,-20.4,10.0,0.0,0.0,,,,22050000000.0,17606000000.0,2774000000.0,4626000000.0,12.6,26.3,3660369.0,1068460.0,,,,,,,,
7865,Ｊ－ピープル,tanshin,2020-06-30,TD081220200618446899,日本基準,2021-01-21,Q1,連,770000000.0,-18.1,814000000.0,5.7,,,,,36000000.0,-66.3,12000000.0,-67.4,,,,,,36000000.0,-66.1,5000000.0,-85.7,,,,,,,,,,,,,23000000.0,-67.5,4000000.0,-82.1,,,,,5.21,0.93,-82.1,,,,0.2,0.5,,,,,,,,2294000000.0,,1874000000.0,,81.7,,,,,,,,,,
7865,Ｊ－ピープル,tanshin,2020-06-30,TD081220200618446899,日本基準,2021-01-21,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437500.0,63279.0,,,,,,,,
8011,株式会社 三陽商会,tanshin,2020-06-30,TD081220200630454977,日本基準,2021-02-28,Q1,連,16114000000.0,2.9,5753000000.0,,,,,,245000000.0,,-2850000000.0,,,,,,,198000000.0,,-2998000000.0,,,,,,,,,,,,,,4000000.0,-99.7,-4284000000.0,,,,,,0.39,-354.2,-90920.5,,,,-12.7,-4.8,,,,,,,,59300000000.0,,33745000000.0,,56.7,,,,,,,,,,
8011,株式会社 三陽商会,tanshin,2020-06-30,TD081220200630454977,日本基準,2021-02-28,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12622934.0,525847.0,,,,,,,,
8166,株式会社 タカキュー,tanshin,2020-06-30,TD081220200625451418,日本基準,2021-02-28,Q1,単,6415000000.0,-6.0,2760000000.0,-57.0,,,,,356000000.0,44.8,-1066000000.0,,,,,,,423000000.0,41.4,-1016000000.0,,,,,,,,,,,,,,258000000.0,46.3,-1049000000.0,,,,,,10.62,-43.06,-505.5,,,,-31.5,-10.1,,,,,,,,10584000000.0,,3334000000.0,,31.5,24470822.0,105173.0,,,,,,,,
9444,株式会社トーシンホールディングス,tanshin,2020-06-30,TD081220200607438626,日本基準,2020-04-30,Q4,連,24363000000.0,-8.7,21325000000.0,-12.5,,,,,354000000.0,-26.0,268000000.0,-24.2,,,,,,302000000.0,-20.8,201000000.0,-33.5,,,,,,,,,,,,,132000000.0,-7.6,187000000.0,41.9,,,,,20.67,29.22,41.4,,,,5.4,1.2,,,,96.7,68.4,,19787000000.0,21805000000.0,3478000000.0,3499000000.0,17.2,15.8,,,312000000.0,767000000.0,-1624000000.0,-2843000000.0,1193000000.0,1912000000.0,1695000000.0,1528000000.0
9444,株式会社トーシンホールディングス,tanshin,2020-06-30,TD081220200607438626,日本基準,2020-04-30,Q4,単,1324000000.0,-94.8,1058000000.0,-20.1,,,,,280000000.0,1.1,100000000.0,-64.4,,,,,,250000000.0,20.6,67000000.0,-72.9,,,,,,,,,,,,,34000000.0,21.8,103000000.0,201.4,,,,,5.37,16.12,200.2,,,,4.3,0.7,20.0,20.0,20.0,,,,12136000000.0,14426000000.0,2510000000.0,2443000000.0,20.0,16.7,6481200.0,69541.0,,,,,,,,
9793,株式会社ダイセキ,tanshin,2020-06-30,TD081220200626453152,日本基準,2021-02-28,Q1,連,13557000000.0,9.3,13451000000.0,-0.7,49000000000.0,-9.4,,,2767000000.0,18.0,2562000000.0,-7.3,8490000000.0,-21.8,,,30.2,2812000000.0,19.3,2682000000.0,-4.5,8640000000.0,-21.6,,,,,,,,,,,1811000000.0,14.3,1497000000.0,-17.3,5520000000.0,-21.6,,,42.35,35.0,-17.4,129.03,,27.1,2.1,2.8,,,,,,,,90806000000.0,,76448000000.0,,77.1,,,,,,,,,,
9793,株式会社ダイセキ,tanshin,2020-06-30,TD081220200626453152,日本基準,2021-02-28,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43000000.0,221661.0,,,,,,,,
9942,株式会社ジョイフル,tanshin,2020-06-30,TD081220200629454638,日本基準,2020-06-30,Q3,連,55318000000.0,,52873000000.0,-4.4,,,,,665000000.0,,171000000.0,-74.2,,,,,,790000000.0,,206000000.0,-73.9,,,,,,,,,,,,,-816000000.0,,-2508000000.0,,,,,,-27.76,-85.21,207.0,,,,-35.0,0.5,,,,,,,,33342000000.0,,7255000000.0,,21.5,,,,,,,,,,
9942,株式会社ジョイフル,tanshin,2020-06-30,TD081220200629454638,日本基準,2020-06-30,Q3,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31931900.0,2489682.0,,,,,,,,
9972,アルテック株式会社,tanshin,2020-06-30,TD081220200626453686,日本基準,2020-11-30,Q2,連,7267000000.0,1.8,6165000000.0,-15.2,16000000000.0,9.9,,,216000000.0,-32.6,234000000.0,8.6,700000000.0,14.7,,,33.4,230000000.0,-35.9,270000000.0,17.3,600000000.0,2.0,,,,,,,,,,,176000000.0,-35.9,192000000.0,8.9,500000000.0,-1.8,,,10.32,11.91,15.4,30.97,,38.5,1.9,1.6,,,,,,,,14552000000.0,,10144000000.0,,68.5,,,,,,,,,,
9972,アルテック株式会社,tanshin,2020-06-30,TD081220200626453686,日本基準,2020-11-30,Q2,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19354596.0,3625078.0,,,,,,,,
2164,株式会社地域新聞社,tanshin,2020-07-01,TD081220200630454988,日本基準,2020-08-31,Q3,連,3020000000.0,-2.3,2585000000.0,-14.4,3210000000.0,-19.6,,,39000000.0,56.1,-161000000.0,,-322000000.0,,,,50.0,62000000.0,135.1,-154000000.0,,-313000000.0,,,,,,,,,,,,37000000.0,243.9,-137000000.0,,-297000000.0,,,,20.52,-74.37,-462.4,-161.46,,46.1,-43.7,-11.4,,,,,,,,1418000000.0,,313000000.0,,22.1,,,,,,,,,,
2164,株式会社地域新聞社,tanshin,2020-07-01,TD081220200630454988,日本基準,2020-08-31,Q3,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843800.0,436.0,,,,,,,,
5852,株式会社アーレスティ,tanshin,2020-07-01,TD081220200701456180,日本基準,2020-03-31,Q4,連,145428000000.0,0.2,120577000000.0,-17.1,,,,,3228000000.0,-31.6,764000000.0,-76.3,,,,,,2905000000.0,-34.5,406000000.0,-86.0,,,,,,,,,,,,,421000000.0,-87.8,-685000000.0,,,,,,16.26,-26.77,-264.6,,,,-1.2,0.6,,,,135.3,,,128222000000.0,123054000000.0,61293000000.0,57364000000.0,47.7,46.5,,,16018000000.0,16474000000.0,-14150000000.0,-17691000000.0,-1392000000.0,2162000000.0,2901000000.0,3732000000.0
5852,株式会社アーレスティ,tanshin,2020-07-01,TD081220200701456180,日本基準,2020-03-31,Q4,単,80003000000.0,1.1,69534000000.0,-13.1,,,,,686000000.0,-47.7,-351000000.0,,,,,,,1109000000.0,-37.3,-682000000.0,,,,,,,,,,,,,,2135000000.0,65.2,-1505000000.0,,,,,,82.44,-58.77,-171.3,,,,-3.5,-0.4,22.0,8.0,,,,,89051000000.0,84482000000.0,46432000000.0,43085000000.0,51.9,50.8,26076717.0,602289.0,,,,,,,,
