code,company,file_type,submit,zip_id,accounting,fiscal_year,quarter,consolidated,sales_prior,sales_pct_prior,sales_current,sales_pct_current,sales_forecast,sales_pct_forecast,sales_forecast_next,sales_pct_forecast_next,operating_income_prior,operating_income_pct_prior,operating_income_current,operating_income_pct_current,operating_income_forecast,operating_income_pct_forecast,operating_income_forecast_next,operating_income_pct_forecast_next,operating_income_progress,ordinary_income_prior,ordinary_income_pct_prior,ordinary_income_current,ordinary_income_pct_current,ordinary_income_forecast,ordinary_income_pct_forecast,ordinary_income_forecast_next,ordinary_income_pct_forecast_next,pretax_income_prior,pretax_income_pct_prior,pretax_income_current,pretax_income_pct_current,pretax_income_forecast,pretax_income_pct_forecast,pretax_income_forecast_next,pretax_income_pct_forecast_next,net_income_prior,net_income_pct_prior,net_income_current,net_income_pct_current,net_income_forecast,net_income_pct_forecast,net_income_forecast_next,net_income_pct_forecast_next,eps_prior,eps_current,eps_pct_current,eps_forecast,eps_forecast_next,eps_progress,roe,roa,dividend_prior,dividend_current,dividend_forecast_next,payout_ratio_prior,payout_ratio_current,payout_ratio_forecast_next,total_assets_prior,total_assets_current,net_assets_prior,net_assets_current,capital_ratio_prior,capital_ratio_current,outstanding_stock_current,treasury_stock_current,operating_cf_prior,operating_cf_current,investing_cf_prior,investing_cf_current,financing_cf_prior,financing_cf_current,cash_prior,cash_current
3970,株式会社イノベーション,tanshin,2020-06-29,TD081220200625451620,日本基準,2020-03-31,Q4,連,1487000000.0,,2022000000.0,35.9,,,2110000000.0,4.3,16000000.0,,174000000.0,959.0,,,170000000.0,-2.6,,19000000.0,,173000000.0,805.1,,,170000000.0,-1.8,,,,,,,,,8000000.0,,92000000.0,934.7,,,90000000.0,-2.5,4.54,47.21,939.9,,46.01,,9.8,13.2,,,,,,,1115000000.0,1320000000.0,868000000.0,934000000.0,77.8,70.8,,,9000000.0,262000000.0,-38000000.0,-182000000.0,-44000000.0,-75000000.0,661000000.0,666000000.0
3970,株式会社イノベーション,tanshin,2020-06-29,TD081220200625451620,日本基準,2020-03-31,Q4,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,1998600.0,47159.0,,,,,,,,
4926,株式会社シーボン,tanshin,2020-06-29,TD081220200629454349,日本基準,2020-03-31,Q4,連,12541000000.0,,11101000000.0,-11.5,,,,,251000000.0,,-318000000.0,,,,,,,301000000.0,,-270000000.0,,,,,,,,,,,,,,139000000.0,,-1070000000.0,,,,,,33.81,-250.02,-839.5,,,,-13.1,-3.1,,,,118.3,,,11702000000.0,10229000000.0,9486000000.0,8188000000.0,81.0,80.0,,,348000000.0,100000000.0,-130000000.0,15000000.0,-188000000.0,-141000000.0,2864000000.0,2838000000.0
4926,株式会社シーボン,tanshin,2020-06-29,TD081220200629454349,日本基準,2020-03-31,Q4,単,12376000000.0,-1.5,10927000000.0,-11.7,,,,,263000000.0,-53.9,-312000000.0,,,,,,,309000000.0,-50.5,-266000000.0,,,,,,,,,,,,,,146000000.0,-62.0,-1062000000.0,,,,,,35.36,-248.18,-801.9,,,,-12.9,-3.1,40.0,20.0,0.0,,,,11700000000.0,10220000000.0,9516000000.0,8228000000.0,81.3,80.5,4281200.0,539.0,,,,,,,,
6196,株式会社ストライク,tanshin,2020-06-29,TD081220200629454159,日本基準,2020-08-31,Q3,単,3413000000.0,21.1,4979000000.0,45.9,6275000000.0,23.6,,,1199000000.0,12.9,2130000000.0,77.6,2237000000.0,18.6,,,95.2,1200000000.0,12.8,2130000000.0,77.5,2237000000.0,18.4,,,,,,,,,,,801000000.0,11.7,1565000000.0,95.4,1667000000.0,24.2,,,41.62,81.96,96.9,87.28,,93.9,24.3,27.2,,,,,,,,7836000000.0,,6454000000.0,,82.3,19354200.0,250110.0,,,,,,,,
6926,岡谷電機産業株式会社,tanshin,2020-06-29,TD081220200414493830,日本基準,2020-03-31,Q4,連,13070000000.0,-4.2,11180000000.0,-14.5,,,,,194000000.0,-73.7,-202000000.0,,,,,,,171000000.0,-70.0,-256000000.0,,,,,,,,,,,,,,-670000000.0,,-570000000.0,,,,,,-30.01,-25.53,-14.9,,,,-8.0,-1.4,,,,,0.0,,14479000000.0,13999000000.0,8198000000.0,7169000000.0,56.6,51.2,,,330000000.0,859000000.0,-541000000.0,-422000000.0,-350000000.0,994000000.0,2240000000.0,3648000000.0
6926,岡谷電機産業株式会社,tanshin,2020-06-29,TD081220200414493830,日本基準,2020-03-31,Q4,単,11647000000.0,-4.3,9915000000.0,-14.9,,,,,-54000000.0,,-339000000.0,,,,,,,427000000.0,-27.9,449000000.0,5.1,,,,,,,,,,,,,-780000000.0,,212000000.0,,,,,,-34.91,9.48,-127.2,,,,3.9,-2.7,4.0,0.0,,,,,12293000000.0,12396000000.0,5553000000.0,5391000000.0,45.2,43.5,22921562.0,571210.0,,,,,,,,
7277,株式会社TBK,tanshin,2020-06-29,TD081220200622448940,日本基準,2020-03-31,Q4,連,53637000000.0,4.4,51340000000.0,-4.3,,,,,1507000000.0,-20.5,1261000000.0,-16.3,,,,,,1554000000.0,-27.9,944000000.0,-39.2,,,,,,,,,,,,,1029000000.0,-0.4,-3116000000.0,,,,,,35.09,-107.1,-405.2,,,,-12.4,2.6,,,,57.0,,,55341000000.0,48949000000.0,30947000000.0,25449000000.0,55.2,51.2,,,6256000000.0,3765000000.0,-3491000000.0,-4138000000.0,-3317000000.0,621000000.0,2440000000.0,2902000000.0
7277,株式会社TBK,tanshin,2020-06-29,TD081220200622448940,日本基準,2020-03-31,Q4,単,30873000000.0,-1.7,28200000000.0,-8.7,,,,,-105000000.0,,-85000000.0,,,,,,,1461000000.0,17.3,636000000.0,-56.5,,,,,,,,,,,,,1255000000.0,256.6,-3306000000.0,,,,,,42.82,-113.61,-365.3,,,,-19.4,-0.3,20.0,12.0,,,,,33252000000.0,28306000000.0,22270000000.0,17025000000.0,67.0,60.1,29424635.0,1060751.0,,,,,,,,
7447,ナガイレーベン株式会社,tanshin,2020-06-29,TD081220200629454269,日本基準,2020-08-31,Q3,連,12916000000.0,-4.2,12290000000.0,-4.9,17400000000.0,3.7,,,3786000000.0,-10.2,3440000000.0,-9.2,5167000000.0,5.1,,,66.6,3839000000.0,-10.1,3514000000.0,-8.5,5242000000.0,5.0,,,,,,,,,,,2649000000.0,-10.1,2426000000.0,-8.4,3605000000.0,4.6,,,79.68,73.61,-7.6,109.36,,67.3,6.2,7.9,,,,,,,,43497000000.0,,39137000000.0,,90.0,,,,,,,,,,
7447,ナガイレーベン株式会社,tanshin,2020-06-29,TD081220200629454269,日本基準,2020-08-31,Q3,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38236000.0,5376686.0,,,,,,,,
7611,株式会社ハイデイ日高,tanshin,2020-06-29,TD081220200629454234,日本基準,2021-02-28,Q1,単,10689000000.0,0.4,6472000000.0,-39.5,,,,,1285000000.0,-5.3,-1509000000.0,,,,,,,1286000000.0,-5.7,-1508000000.0,,,,,,,,,,,,,,859000000.0,-6.3,-1263000000.0,,,,,,22.61,-33.25,-247.1,,,,-5.2,-5.2,,,,,,,,28824000000.0,,24283000000.0,,84.2,38147116.0,161645.0,,,,,,,,
7831,株式会社ウイルコホールディングス,tanshin,2020-06-29,TD081220200629454113,日本基準,2020-10-31,Q2,連,8410000000.0,9.8,6409000000.0,-23.8,,,,,-140000000.0,,-137000000.0,,,,,,,-95000000.0,,-150000000.0,,,,,,,,,,,,,,-12000000.0,,-43000000.0,,,,,,-0.49,-1.75,257.1,,,,-0.8,-1.0,,,,,,,,13473000000.0,,5500000000.0,,40.8,,,738000000.0,433000000.0,96000000.0,350000000.0,120000000.0,-861000000.0,4251000000.0,3324000000.0
7831,株式会社ウイルコホールディングス,tanshin,2020-06-29,TD081220200629454113,日本基準,2020-10-31,Q2,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24650800.0,52690.0,,,,,,,,
7965,象印マホービン株式会社,tanshin,2020-06-29,TD081220200626452669,日本基準,2020-11-20,Q2,連,44179000000.0,-7.7,39819000000.0,-9.9,74000000000.0,-6.5,,,4086000000.0,-22.3,3122000000.0,-23.6,4700000000.0,-13.7,,,66.4,4286000000.0,-22.3,3108000000.0,-27.5,4700000000.0,-20.0,,,,,,,,,,,2920000000.0,-22.0,2032000000.0,-30.4,3100000000.0,-24.1,,,43.22,30.07,-30.4,45.85,,65.6,2.9,3.4,,,,,,,,91094000000.0,,71779000000.0,,78.1,,,7973000000.0,7948000000.0,-750000000.0,-899000000.0,-1054000000.0,-1144000000.0,31936000000.0,34944000000.0
7965,象印マホービン株式会社,tanshin,2020-06-29,TD081220200626452669,日本基準,2020-11-20,Q2,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72600000.0,4987576.0,,,,,,,,
8168,株式会社 ケーヨー,tanshin,2020-06-29,TD081220200625452327,日本基準,2021-02-28,Q1,単,28345000000.0,-10.2,31073000000.0,9.6,104000000000.0,-3.4,,,228000000.0,2.3,2577000000.0,,1700000000.0,224.0,,,151.6,467000000.0,8.8,2785000000.0,496.1,2400000000.0,96.8,,,,,,,,,,,-26000000.0,,1804000000.0,,1250000000.0,0.8,,,-0.41,27.7,-6856.1,19.19,,144.3,4.3,3.1,,,,,,,,83728000000.0,,41949000000.0,,50.1,65140184.0,3479.0,,,,,,,,
8227,株式会社しまむら,tanshin,2020-06-29,TD081220200628453811,日本基準,2021-02-20,Q1,連,133648000000.0,-2.9,106987000000.0,-19.9,519260000000.0,-0.5,,,5592000000.0,-22.1,-1281000000.0,,23405000000.0,1.8,,,-5.5,5767000000.0,-21.9,-1092000000.0,,24348000000.0,2.1,,,,,,,,,,,3793000000.0,-20.7,-1221000000.0,,14868000000.0,13.3,,,103.21,-33.22,-132.2,404.56,,-8.2,-0.3,-0.3,,,,,,,,410259000000.0,,361427000000.0,,88.1,,,,,,,,,,
8227,株式会社しまむら,tanshin,2020-06-29,TD081220200628453811,日本基準,2021-02-20,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36913299.0,163017.0,,,,,,,,
8897,株式会社タカラレーベン,tanshin,2020-06-29,TD081220200626452792,日本基準,2020-03-31,Q4,連,132005000000.0,19.1,168493000000.0,27.6,,,,,10046000000.0,-20.3,11901000000.0,18.5,,,,,,9027000000.0,-23.4,11201000000.0,24.1,,,,,,,,,,,,,6426000000.0,-12.8,5361000000.0,-16.6,,,,,59.33,49.45,-16.7,,,,10.6,6.1,,,,27.0,38.4,,184893000000.0,195448000000.0,47734000000.0,51139000000.0,25.6,25.9,,,22428000000.0,47708000000.0,-34347000000.0,-32136000000.0,3427000000.0,-1608000000.0,20642000000.0,34605000000.0
8897,株式会社タカラレーベン,tanshin,2020-06-29,TD081220200626452792,日本基準,2020-03-31,Q4,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,19.0,,,,,,,,,,,121000000.0,12587307.0,,,,,,,,
9704,株式会社アゴーラ・ホスピタリティー・グループ,tanshin,2020-06-29,TD081220200624451059,日本基準,2020-12-31,Q1,連,1587000000.0,-5.5,1430000000.0,-9.9,,,,,46000000.0,,-470000000.0,,,,,,,21000000.0,,-629000000.0,,,,,,,,,,,,,,-21000000.0,,-640000000.0,,,,,,-0.08,-2.52,3050.0,,,,-9.1,-2.5,,,,,,,,18463000000.0,,8394000000.0,,38.1,,,,,,,,,,
9704,株式会社アゴーラ・ホスピタリティー・グループ,tanshin,2020-06-29,TD081220200624451059,日本基準,2020-12-31,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281708934.0,27764543.0,,,,,,,,
1712,株式会社ダイセキ環境ソリューション,tanshin,2020-06-30,TD081220200629454787,日本基準,2021-02-28,Q1,連,3523000000.0,5.7,4200000000.0,19.1,13500000000.0,-3.9,,,324000000.0,18.7,329000000.0,1.5,970000000.0,-21.6,,,33.9,349000000.0,32.5,351000000.0,0.3,1000000000.0,-22.8,,,,,,,,,,,212000000.0,28.6,203000000.0,-3.9,566000000.0,-16.6,,,12.6,12.12,-3.8,33.69,,36.0,1.6,1.6,,,,,,,,20858000000.0,,13172000000.0,,60.2,,,,,,,,,,
1712,株式会社ダイセキ環境ソリューション,tanshin,2020-06-30,TD081220200629454787,日本基準,2021-02-28,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16827120.0,29738.0,,,,,,,,
2186,ソーバル株式会社,tanshin,2020-06-30,TD081220200630455658,日本基準,2021-02-28,Q1,連,2085000000.0,1.1,1887000000.0,-9.5,,,,,193000000.0,17.3,142000000.0,-26.7,,,,,,192000000.0,16.3,143000000.0,-25.5,,,,,,,,,,,,,122000000.0,13.0,84000000.0,-31.2,,,,,15.1,10.7,-29.1,,,,2.8,3.2,,,,,,,,4382000000.0,,3056000000.0,,69.7,,,,,,,,,,
2186,ソーバル株式会社,tanshin,2020-06-30,TD081220200630455658,日本基準,2021-02-28,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8167498.0,300215.0,,,,,,,,
2685,株式会社アダストリア,tanshin,2020-06-30,TD081220200626452919,日本基準,2021-02-28,Q1,連,56290000000.0,9.5,33267000000.0,-40.9,,,,,5221000000.0,308.4,-4758000000.0,,,,,,,5119000000.0,276.9,-4822000000.0,,,,,,,,,,,,,,3267000000.0,,-3681000000.0,,,,,,69.41,-78.12,-212.5,,,,-7.0,-5.1,,,,,,,,93707000000.0,,52324000000.0,,55.8,,,,,,,,,,
2685,株式会社アダストリア,tanshin,2020-06-30,TD081220200626452919,日本基準,2021-02-28,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48800000.0,1638675.0,,,,,,,,
2925,株式会社ピックルスコーポレーション,tanshin,2020-06-30,TD081220200630455160,日本基準,2021-02-28,Q1,連,10599000000.0,5.9,12021000000.0,13.4,43000000000.0,3.8,,,745000000.0,79.3,913000000.0,22.5,1905000000.0,1.8,,,47.9,784000000.0,76.8,937000000.0,19.6,2028000000.0,2.8,,,,,,,,,,,527000000.0,125.3,651000000.0,23.6,1332000000.0,3.3,,,82.38,101.85,23.6,208.32,,48.9,4.9,3.4,,,,,,,,27078000000.0,,13503000000.0,,49.4,,,,,,,,,,
2925,株式会社ピックルスコーポレーション,tanshin,2020-06-30,TD081220200630455160,日本基準,2021-02-28,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6398000.0,257.0,,,,,,,,
2975,スター・マイカ・ホールディングス株式会社,tanshin,2020-06-30,TD081220200630455113,日本基準,2020-11-30,Q2,連,,,17173000000.0,,35259000000.0,9.6,,,,,1644000000.0,,3387000000.0,-6.6,,,48.5,,,1248000000.0,,2645000000.0,-9.6,,,,,,,,,,,,,876000000.0,,1846000000.0,-8.7,,,,48.1,,101.3,,47.5,4.6,2.0,,,,,,,,83809000000.0,,19156000000.0,,22.8,,,,-3831302000.0,,-255609000.0,,6779575000.0,,7023181000.0
2975,スター・マイカ・ホールディングス株式会社,tanshin,2020-06-30,TD081220200630455113,日本基準,2020-11-30,Q2,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18228656.0,55.0,,,,,,,,
3089,テクノアルファ株式会社,tanshin,2020-06-30,TD081220200630455557,日本基準,2020-11-30,Q2,連,1695000000.0,-11.2,1200000000.0,-29.2,,,,,155000000.0,49.9,-28000000.0,,,,,,,182000000.0,67.6,-25000000.0,,,,,,,,,,,,,,140000000.0,106.5,-20000000.0,,,,,,79.35,-11.49,-114.5,,,,-1.4,-1.4,,,,,,,,2039000000.0,,1425000000.0,,69.9,,,484959000.0,258310000.0,-5926000.0,754000.0,-118521000.0,-53791000.0,596879000.0,544178000.0
3089,テクノアルファ株式会社,tanshin,2020-06-30,TD081220200630455557,日本基準,2020-11-30,Q2,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2316000.0,550184.0,,,,,,,,
3347,株式会社 トラスト,tanshin,2020-06-30,TD081220200629454743,日本基準,2020-03-31,Q4,連,20260000000.0,10.1,20140000000.0,-0.6,,,19580000000.0,-2.8,1446000000.0,9.7,1447000000.0,0.1,,,694000000.0,-52.0,,1422000000.0,13.2,1377000000.0,-3.1,,,612000000.0,-55.0,,,,,,,,,361000000.0,-18.1,350000000.0,-3.0,,,132000000.0,-62.4,13.98,13.55,-3.1,,5.1,,5.1,5.0,,,,28.6,29.5,,29284000000.0,29011000000.0,9562000000.0,10230000000.0,22.7,23.6,,,5645000000.0,5241000000.0,-2092000000.0,-3032000000.0,-3742000000.0,-2674000000.0,778000000.0,331000000.0
3347,株式会社 トラスト,tanshin,2020-06-30,TD081220200629454743,日本基準,2020-03-31,Q4,単,6621000000.0,19.9,5670000000.0,-14.4,,,,,126000000.0,-13.3,27000000.0,-78.4,,,,,,53000000.0,-70.2,33000000.0,-37.5,,,,,,,,,,,,,-433000000.0,,-206000000.0,,,,,,-16.74,-7.98,-52.3,,,,-6.1,0.5,4.0,4.0,,,,,5388000000.0,5642000000.0,3683000000.0,3367000000.0,68.4,59.7,28150000.0,2273100.0,,,,,,,,
3675,株式会社クロス・マーケティンググループ,tanshin,2020-06-30,TD081220200626453499,日本基準,2020-12-31,Q1,連,4711000000.0,0.7,4618000000.0,-2.0,,,,,409000000.0,-11.9,427000000.0,4.3,,,,,,366000000.0,-14.6,412000000.0,12.8,,,,,,,,,,,,,192000000.0,-25.0,250000000.0,30.1,,,,,9.83,12.6,28.2,,,,7.4,4.5,,,,,,,,9426000000.0,,3463000000.0,,35.8,,,,,,,,,,
3675,株式会社クロス・マーケティンググループ,tanshin,2020-06-30,TD081220200626453499,日本基準,2020-12-31,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19970464.0,281706.0,,,,,,,,
3919,パイプドＨＤ株式会社,tanshin,2020-06-30,TD081220200630455363,日本基準,2021-02-28,Q1,連,1466000000.0,10.6,1454000000.0,-0.9,5800000000.0,-6.6,,,212000000.0,69.4,283000000.0,33.6,1000000000.0,-28.1,,,28.3,215000000.0,76.1,283000000.0,31.3,1000000000.0,-28.7,,,,,,,,,,,131000000.0,107.8,177000000.0,34.6,500000000.0,-27.4,,,17.31,21.95,26.8,61.54,,35.7,4.6,4.0,,,,,,,,7061000000.0,,3822000000.0,,54.1,,,,,,,,,,
