code,company,fiscal_year,quarter,file_type,account_type,consoli_type,submit,zip_id,sales_prior,sales_pct_yoy_prior,sales_current,sales_pct_yoy_current,sales_next,sales_pct_yoy_next,operating_income_prior,operating_income_pct_yoy_prior,operating_income_current,operating_income_pct_yoy_current,operating_income_next,operating_income_pct_yoy_next,operating_income_progress_ratio,operating_income_on_sales_ratio_prior,operating_income_on_sales_ratio_current,operating_income_on_sales_ratio_next,operating_cf_margin_prior,operating_cf_margin_current,ordinary_income_prior,ordinary_income_pct_yoy_prior,ordinary_income_current,ordinary_income_pct_yoy_current,ordinary_income_next,ordinary_income_pct_yoy_next,pretax_income_prior,pretax_income_pct_yoy_prior,pretax_income_current,pretax_income_pct_yoy_current,pretax_income_next,pretax_income_pct_yoy_next,net_income_prior,net_income_pct_yoy_prior,net_income_current,net_income_pct_yoy_current,net_income_next,net_income_pct_yoy_next,net_income_on_sales_prior,net_income_on_sales_current,net_income_on_sales_next,eps_prior,eps_current,eps_next,roe,roa,dividend_prior,dividend_next,payout_ratio_prior,payout_ratio_next,total_assets_prior,total_assets_current,net_assets_prior,net_assets_current,capital_ratio_prior,capital_ratio_current,outstanding_stock_current,treasury_stock_current,operating_cf_prior,operating_cf_current,investing_cf_prior,investing_cf_current,financing_cf_prior,financing_cf_current,cash_prior,cash_current
2375,スリープログループ株式会社,2018-10-31,Q4,tanshin,日本基準,連,2018-11-27,TD2018112700110,13454000000.0,17.5,16052000000.0,19.3,17000000000.0,5.9,381000000.0,42.6,586000000.0,53.7,700000000.0,19.4,,2.8,3.7,4.1,2.7,3.3,401000000.0,51.2,613000000.0,52.6,700000000.0,14.1,,,,,,,215000000.0,23.7,309000000.0,43.4,375000000.0,21.4,1.6,1.9,2.2,32.74,46.69,56.47,11.0,8.2,,,15.3,17.7,6964000000.0,7169000000.0,2568000000.0,2862000000.0,36.2,39.1,,,358000000.0,536000000.0,-929000000.0,760000000.0,600000000.0,-196000000.0,1560000000.0,2660000000.0
2391,株式会社 プラネット,2019-07-31,Q1,tanshin,日本基準,単,2018-11-27,TD2018112700073,756000000.0,1.2,762000000.0,0.9,3060000000.0,2.0,208000000.0,0.3,187000000.0,-10.3,615000000.0,-12.8,30.4,27.5,24.5,20.1,,,211000000.0,-0.4,189000000.0,-10.0,630000000.0,-12.4,,,,,,,144000000.0,2.9,129000000.0,-10.6,420000000.0,-21.8,19.0,16.9,13.7,21.84,19.52,63.34,3.0,3.7,,40.5,,,,5100000000.0,,4251000000.0,,83.4,6632800.0,1912.0,,,,,,,,
2590,ダイドーグループホールディングス株式会社,2019-01-20,Q3,tanshin,日本基準,連,2018-11-27,TD2018112700048,133904000000.0,1.3,133229000000.0,-0.5,175220000000.0,1.5,4812000000.0,8.8,5998000000.0,24.7,5740000000.0,17.4,104.5,3.6,4.5,3.3,,,5274000000.0,20.2,5752000000.0,9.1,5725000000.0,6.4,,,,,,,3138000000.0,-17.2,3432000000.0,9.4,3640000000.0,45.4,2.3,2.6,2.1,189.97,208.41,220.99,3.7,3.3,,,,,,179181000000.0,,92981000000.0,,51.3,,,,,,,,,,
2590,ダイドーグループホールディングス株式会社,2019-01-20,Q3,tanshin,日本基準,単,2018-11-27,TD2018112700048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,16568500.0,96978.0,,,,,,,,
3031,株式会社 ラクーンホールディングス>>,2019-04-30,Q2,tanshin,日本基準,連,2018-11-29,TD2018112900051,1239000000.0,8.2,1351000000.0,9.1,2709000000.0,6.4,212000000.0,6.1,270000000.0,27.6,513000000.0,17.2,52.6,17.1,20.0,18.9,39.1,41.8,208000000.0,6.7,267000000.0,28.2,508000000.0,17.7,,,,,,,139000000.0,34.4,182000000.0,30.2,330000000.0,16.6,11.2,13.5,12.2,7.96,10.2,18.53,8.1,3.8,,,,,,7061000000.0,,2249000000.0,,31.7,,,484124000.0,564382000.0,-61212000.0,-37303000.0,-97714000.0,364322000.0,2317944000.0,3046844000.0
3031,株式会社 ラクーンホールディングス>>,2019-04-30,Q2,tanshin,日本基準,単,2018-11-29,TD2018112900051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780300.0,850657.0,,,,,,,,
3329,東和フードサービス株式会社,2019-04-30,Q2,tanshin,日本基準,単,2018-11-30,TD2018113000177,5425000000.0,2.7,5512000000.0,1.6,11500000000.0,3.8,299000000.0,36.5,208000000.0,-30.5,734000000.0,10.5,28.3,5.5,3.8,6.4,7.6,8.3,311000000.0,36.8,220000000.0,-29.1,750000000.0,8.5,,,,,,,200000000.0,40.4,114000000.0,-42.9,445000000.0,5.1,3.7,2.1,3.9,24.85,14.19,55.14,2.2,3.0,,12.0,,,,6937000000.0,,5157000000.0,,74.3,8186400.0,116658.0,412409000.0,458432000.0,-103340000.0,-308874000.0,-311676000.0,-108214000.0,1490138000.0,1310248000.0
3816,株式会社 大和コンピューター,2019-07-31,Q1,tanshin,日本基準,連,2018-11-30,TD2018113000137,566000000.0,8.3,578000000.0,2.0,2480000000.0,2.7,91000000.0,20.2,104000000.0,14.6,326000000.0,4.3,31.9,16.1,18.0,13.1,,,94000000.0,20.5,108000000.0,15.2,338000000.0,0.9,,,,,,,62000000.0,20.9,72000000.0,15.8,231000000.0,0.5,11.0,12.5,9.3,21.26,24.63,78.25,2.1,2.5,,,,,,4148000000.0,,3414000000.0,,82.3,,,,,,,,,,
3816,株式会社 大和コンピューター,2019-07-31,Q1,tanshin,日本基準,単,2018-11-30,TD2018113000137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,2992245.0,34243.0,,,,,,,,
3930,株式会社はてな>>,2019-07-31,Q1,tanshin,日本基準,単,2018-11-30,TD2018113000084,475000000.0,1.8,662000000.0,39.3,2522000000.0,20.5,48000000.0,-49.7,159000000.0,227.0,354000000.0,10.9,44.9,10.1,24.0,14.0,,,66000000.0,-31.7,162000000.0,145.3,353000000.0,5.5,,,,,,,48000000.0,-19.6,111000000.0,132.3,243000000.0,3.9,10.1,16.8,9.6,16.89,39.07,85.34,6.7,8.5,,0.0,,,,1872000000.0,,1646000000.0,,87.9,2858400.0,108.0,,,,,,,,
