code,company,fiscal_year,quarter,file_type,account_type,consoli_type,submit,zip_id,sales_prior,sales_pct_yoy_prior,sales_current,sales_pct_yoy_current,sales_next,sales_pct_yoy_next,operating_income_prior,operating_income_pct_yoy_prior,operating_income_current,operating_income_pct_yoy_current,operating_income_next,operating_income_pct_yoy_next,operating_income_progress_ratio,operating_income_on_sales_ratio_prior,operating_income_on_sales_ratio_current,operating_income_on_sales_ratio_next,operating_cf_margin_prior,operating_cf_margin_current,ordinary_income_prior,ordinary_income_pct_yoy_prior,ordinary_income_current,ordinary_income_pct_yoy_current,ordinary_income_next,ordinary_income_pct_yoy_next,pretax_income_prior,pretax_income_pct_yoy_prior,pretax_income_current,pretax_income_pct_yoy_current,pretax_income_next,pretax_income_pct_yoy_next,net_income_prior,net_income_pct_yoy_prior,net_income_current,net_income_pct_yoy_current,net_income_next,net_income_pct_yoy_next,net_income_on_sales_prior,net_income_on_sales_current,net_income_on_sales_next,eps_prior,eps_current,eps_next,roe,roa,dividend_prior,dividend_next,payout_ratio_prior,payout_ratio_next,total_assets_prior,total_assets_current,net_assets_prior,net_assets_current,capital_ratio_prior,capital_ratio_current,outstanding_stock_current,treasury_stock_current,operating_cf_prior,operating_cf_current,investing_cf_prior,investing_cf_current,financing_cf_prior,financing_cf_current,cash_prior,cash_current
4369,株式会社 トリケミカル研究所,2019-01-31,Q3,tanshin,日本基準,連,2018-11-30,TD2018113000088,,,5778000000.0,,7770000000.0,,,,1586000000.0,,2140000000.0,,74.1,,27.4,27.5,,,,,2079000000.0,,2990000000.0,,,,,,,,,,1558000000.0,,2280000000.0,,,27.0,29.3,,199.54,291.86,24.4,15.1,,,,,,10476000000.0,,6385000000.0,,61.0,,,,,,,,,,
4369,株式会社 トリケミカル研究所,2019-01-31,Q3,tanshin,日本基準,単,2018-11-30,TD2018113000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,7812160.0,275.0,,,,,,,,
4699,ウチダエスコ株式会社,2019-07-20,Q1,tanshin,日本基準,連,2018-11-26,TD2018112600055,3420000000.0,-15.7,3506000000.0,2.5,13300000000.0,6.3,219000000.0,-50.9,187000000.0,-14.3,620000000.0,16.5,30.2,6.4,5.3,4.7,,,220000000.0,-50.7,188000000.0,-14.5,620000000.0,14.4,,,,,,,146000000.0,-51.9,131000000.0,-10.7,420000000.0,17.3,4.3,3.7,3.2,40.86,36.51,116.81,2.6,1.8,,,,,,10621000000.0,,4955000000.0,,46.7,,,,,,,,,,
4699,ウチダエスコ株式会社,2019-07-20,Q1,tanshin,日本基準,単,2018-11-26,TD2018112600055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,3600000.0,4602.0,,,,,,,,
4707,株式会社 キタック,2018-10-20,Q4,tanshin,日本基準,単,2018-11-30,TD2018113000096,2472000000.0,1.7,2473000000.0,0.1,2674000000.0,8.1,207000000.0,-8.2,229000000.0,10.3,227000000.0,-1.0,,8.4,9.3,8.5,5.6,13.9,213000000.0,13.4,252000000.0,18.4,260000000.0,3.0,,,,,,,146000000.0,15.7,168000000.0,15.2,177000000.0,5.1,5.9,6.8,6.6,26.09,30.06,31.6,7.1,4.4,5.0,5.0,19.2,,5374000000.0,5262000000.0,2251000000.0,2377000000.0,41.9,45.2,5969024.0,368575.0,138000000.0,343000000.0,-10000000.0,-12000000.0,30000000.0,-470000000.0,229000000.0,89000000.0
4750,株式会社ダイサン>>,2019-04-20,Q2,tanshin,日本基準,単,2018-11-30,TD2018113000141,4081000000.0,0.8,3960000000.0,-3.0,8700000000.0,4.8,337000000.0,3.1,218000000.0,-35.3,655000000.0,0.3,33.3,8.3,5.5,7.5,13.2,6.2,341000000.0,1.4,222000000.0,-34.9,655000000.0,-1.2,,,,,,,209000000.0,-1.1,132000000.0,-36.8,420000000.0,6.2,5.1,3.3,4.8,32.65,20.64,65.49,2.0,2.5,,26.0,,,,8689000000.0,,6753000000.0,,77.7,7618000.0,1205111.0,536683000.0,245713000.0,-264607000.0,-365198000.0,-99461000.0,182967000.0,1816617000.0,2312648000.0
4813,株式会社ＡＣＣＥＳＳ,2019-01-31,Q3,tanshin,日本基準,連,2018-11-30,TD2018113000097,5522000000.0,33.6,4978000000.0,-9.8,8200000000.0,3.4,218000000.0,,-388000000.0,,500000000.0,20.9,-77.6,3.9,-7.8,6.1,,,230000000.0,,-408000000.0,,500000000.0,58.1,,,,,,,110000000.0,,-486000000.0,,370000000.0,49.8,2.0,-9.8,4.5,2.86,-12.57,9.56,-1.7,-1.3,,,,,,30808000000.0,,29044000000.0,,94.2,,,,,,,,,,
4813,株式会社ＡＣＣＥＳＳ,2019-01-31,Q3,tanshin,日本基準,単,2018-11-30,TD2018113000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39293100.0,583546.0,,,,,,,,
5971,株式会社共和工業所,2019-04-30,Q2,tanshin,日本基準,連,2018-11-29,TD2018112900087,4595000000.0,45.4,5180000000.0,12.7,10800000000.0,12.8,538000000.0,303.2,610000000.0,13.4,1450000000.0,32.7,42.1,11.7,11.8,13.4,9.8,13.7,565000000.0,276.2,652000000.0,15.4,1500000000.0,30.3,,,,,,,408000000.0,263.6,480000000.0,17.6,1100000000.0,17.2,8.9,9.3,10.2,301.13,354.09,810.14,4.4,4.7,,,,,,13005000000.0,,10940000000.0,,84.1,,,448762000.0,708041000.0,-322970000.0,-280954000.0,-143883000.0,-150260000.0,2859040000.0,3414298000.0
5971,株式会社共和工業所,2019-04-30,Q2,tanshin,日本基準,単,2018-11-29,TD2018112900087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,1360000.0,2267.0,,,,,,,,
7590,株式会社 タカショー,2019-01-20,Q3,tanshin,日本基準,連,2018-11-26,TD2018112600062,13701000000.0,2.4,13770000000.0,0.5,18490000000.0,5.7,579000000.0,1.7,360000000.0,-37.7,457000000.0,-24.8,78.8,4.2,2.6,2.5,,,519000000.0,715.0,244000000.0,-52.9,436000000.0,-23.7,,,,,,,238000000.0,,107000000.0,-55.1,273000000.0,19.6,1.7,0.8,1.5,19.43,8.13,18.73,1.3,1.8,,,,,,19869000000.0,,8523000000.0,,42.5,,,,,,,,,,
7590,株式会社 タカショー,2019-01-20,Q3,tanshin,日本基準,単,2018-11-26,TD2018112600062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,14679814.0,101485.0,,,,,,,,
8057,株式会社 内田洋行,2019-07-20,Q1,tanshin,日本基準,連,2018-11-29,TD2018112900077,34194000000.0,11.8,33160000000.0,-3.0,156000000000.0,3.0,507000000.0,2.0,90000000.0,-82.3,3050000000.0,3.7,3.0,1.5,0.3,2.0,,,551000000.0,-13.2,136000000.0,-75.3,3330000000.0,2.4,,,,,,,279000000.0,26.9,10000000.0,-96.1,1950000000.0,6.5,0.8,0.0,1.2,27.91,1.12,199.42,0.0,0.1,,,,,,89934000000.0,,36896000000.0,,37.7,,,,,,,,,,
8057,株式会社 内田洋行,2019-07-20,Q1,tanshin,日本基準,単,2018-11-29,TD2018112900077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,10419371.0,641074.0,,,,,,,,
8068,菱洋エレクトロ株式会社,2019-01-31,Q3,tanshin,日本基準,連,2018-11-27,TD2018112700118,68590000000.0,-6.0,69106000000.0,0.8,93000000000.0,0.8,1004000000.0,-8.9,1150000000.0,14.5,1200000000.0,377.2,95.8,1.5,1.7,1.3,,,1149000000.0,1.1,1250000000.0,8.8,1400000000.0,223.8,,,,,,,804000000.0,17.8,860000000.0,6.9,960000000.0,351.1,1.2,1.2,1.0,32.85,35.08,39.16,1.4,1.5,,,,,,76465000000.0,,62463000000.0,,81.6,,,,,,,,,,
8068,菱洋エレクトロ株式会社,2019-01-31,Q3,tanshin,日本基準,単,2018-11-27,TD2018112700118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,26800000.0,2278405.0,,,,,,,,
2375,スリープログループ株式会社,2018-10-31,Q4,tanshin,日本基準,連,2018-11-27,TD2018112700110,13454000000.0,17.5,16052000000.0,19.3,17000000000.0,5.9,381000000.0,42.6,586000000.0,53.7,500000000.0,31.1,117.2,2.8,3.7,4.1,2.7,3.3,401000000.0,51.2,613000000.0,52.6,700000000.0,14.1,,,,,,,215000000.0,23.7,309000000.0,43.4,375000000.0,21.4,1.6,1.9,2.2,32.74,46.69,56.47,11.0,8.2,,,15.3,17.7,6964000000.0,7169000000.0,2568000000.0,2862000000.0,36.2,39.1,,,358000000.0,536000000.0,-929000000.0,760000000.0,600000000.0,-196000000.0,1560000000.0,2660000000.0
2375,スリープログループ株式会社,2018-10-31,Q4,tanshin,日本基準,単,2018-11-27,TD2018112700110,801000000.0,46.4,797000000.0,-0.5,,,174000000.0,313.0,102000000.0,-41.3,,,,21.7,12.8,,,,160000000.0,301.2,80000000.0,-49.8,,,,,,,,,,,,,,,,,,24.67,10.82,,,1.8,5.0,10.0,,,4872000000.0,5629000000.0,1898000000.0,1956000000.0,38.1,33.7,7187320.0,546083.0,,,,,,,,
4707,株式会社 キタック,2018-10-20,Q4,tanshin,日本基準,単,2018-11-30,TD2018113000096,2472000000.0,1.7,2473000000.0,0.1,2674000000.0,8.1,207000000.0,-8.2,229000000.0,10.3,224000000.0,7.8,102.2,8.4,9.3,8.5,5.6,13.9,213000000.0,13.4,252000000.0,18.4,260000000.0,3.0,,,,,,,146000000.0,15.7,168000000.0,15.2,177000000.0,5.1,5.9,6.8,6.6,26.09,30.06,31.6,7.1,4.4,5.0,5.0,19.2,,5374000000.0,5262000000.0,2251000000.0,2377000000.0,41.9,45.2,5969024.0,368575.0,138000000.0,343000000.0,-10000000.0,-12000000.0,30000000.0,-470000000.0,229000000.0,89000000.0
