code,company,fiscal_year,quarter,file_type,account_type,consoli_type,submit,zip_id,sales_prior,sales_pct_yoy_prior,sales_current,sales_pct_yoy_current,sales_next,sales_pct_yoy_next,operating_income_prior,operating_income_pct_yoy_prior,operating_income_current,operating_income_pct_yoy_current,operating_income_next,operating_income_pct_yoy_next,operating_income_progress_ratio,operating_income_on_sales_ratio_prior,operating_income_on_sales_ratio_current,operating_income_on_sales_ratio_next,operating_cf_margin_prior,operating_cf_margin_current,ordinary_income_prior,ordinary_income_pct_yoy_prior,ordinary_income_current,ordinary_income_pct_yoy_current,ordinary_income_next,ordinary_income_pct_yoy_next,pretax_income_prior,pretax_income_pct_yoy_prior,pretax_income_current,pretax_income_pct_yoy_current,pretax_income_next,pretax_income_pct_yoy_next,net_income_prior,net_income_pct_yoy_prior,net_income_current,net_income_pct_yoy_current,net_income_next,net_income_pct_yoy_next,net_income_on_sales_prior,net_income_on_sales_current,net_income_on_sales_next,eps_prior,eps_current,eps_next,roe,roa,dividend_prior,dividend_next,payout_ratio_prior,payout_ratio_next,total_assets_prior,total_assets_current,net_assets_prior,net_assets_current,capital_ratio_prior,capital_ratio_current,outstanding_stock_current,treasury_stock_current,operating_cf_prior,operating_cf_current,investing_cf_prior,investing_cf_current,financing_cf_prior,financing_cf_current,cash_prior,cash_current
1381,株式会社 アクシーズ,2019-06-30,Q2,tanshin,日本基準,連,2019-01-25,TD2019012500060,9866000000.0,2.5,9868000000.0,0.0,19050000000.0,-1.6,1661000000.0,6.5,1245000000.0,-25.0,2700000000.0,-9.7,46.1,16.8,12.6,14.2,11.0,14.0,1739000000.0,8.7,1297000000.0,-25.4,2800000000.0,-9.3,,,,,,,1154000000.0,10.6,931000000.0,-19.3,2000000000.0,-6.2,11.7,9.4,10.5,205.49,165.84,356.13,7.2,7.8,,,,,,15926000000.0,,12936000000.0,,81.2,,,1082000000.0,1384000000.0,-162000000.0,-304000000.0,-250000000.0,-420000000.0,6083000000.0,7373000000.0
1381,株式会社 アクシーズ,2019-06-30,Q2,tanshin,日本基準,単,2019-01-25,TD2019012500060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,5617500.0,1649.0,,,,,,,,
1734,株式会社北弘電社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-22,TD2019012200067,6784000000.0,-16.6,7868000000.0,16.0,14000000000.0,1.8,0.0,,-83000000.0,,210000000.0,-61.5,-39.5,0.0,-1.1,1.5,,,27000000.0,,-44000000.0,,240000000.0,-58.5,,,,,,,31000000.0,,-28000000.0,,140000000.0,-65.3,0.5,-0.4,1.0,49.19,-45.76,221.85,-0.5,-0.9,,,,,,9330000000.0,,6014000000.0,,64.5,650000.0,19140.0,,,,,,,,
1934,株式会社ユアテック,2019-03-31,Q3,tanshin,日本基準,連,2019-01-24,TD2019012400103,145799000000.0,-7.8,138764000000.0,-4.8,210000000000.0,-1.5,6086000000.0,-31.3,3775000000.0,-38.0,10000000000.0,-15.2,37.8,4.2,2.7,4.8,,,6781000000.0,-27.7,4512000000.0,-33.5,10400000000.0,-16.4,,,,,,,4530000000.0,-27.9,2892000000.0,-36.2,7000000000.0,-16.5,3.1,2.1,3.3,56.97,40.44,99.16,2.6,2.1,,,,,,180387000000.0,,111950000000.0,,62.0,,,,,,,,,,
1934,株式会社ユアテック,2019-03-31,Q3,tanshin,日本基準,単,2019-01-24,TD2019012400103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,72224462.0,710903.0,,,,,,,,
1972,三晃金属工業株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500056,25430000000.0,,26165000000.0,2.9,36900000000.0,5.4,1712000000.0,,1884000000.0,10.0,2370000000.0,-3.6,79.5,6.7,7.2,6.4,,,1706000000.0,,1880000000.0,10.3,2360000000.0,-3.7,,,,,,,2000000000.0,,1233000000.0,-38.4,1560000000.0,-34.9,7.9,4.7,4.2,518.81,319.78,404.55,7.1,5.8,,120.0,,,,32397000000.0,,17303000000.0,,53.4,3960000.0,103967.0,,,,,,,,
2139,株式会社 中広,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500150,5442000000.0,1.0,5277000000.0,-3.0,7260000000.0,-1.9,128000000.0,-53.1,5000000.0,-96.0,160000000.0,-26.0,3.1,2.4,0.1,2.2,,,130000000.0,-52.3,11000000.0,-91.0,160000000.0,-26.6,,,,,,,77000000.0,-60.2,274000000.0,254.3,100000000.0,-32.8,1.4,5.2,1.4,11.39,40.37,14.71,10.5,0.1,,12.0,,,,4855000000.0,,2600000000.0,,53.6,7044000.0,243939.0,,,,,,,,
2397,（株）ＤＮＡチップ研究所,2019-03-31,Q3,tanshin,日本基準,単,2019-01-24,TD2019012400105,177000000.0,74.3,172000000.0,-2.4,410000000.0,13.0,-149000000.0,,-135000000.0,,-96000000.0,,140.6,-84.2,-78.5,-23.4,,,-151000000.0,,-135000000.0,,-96000000.0,,,,,,,,-152000000.0,,-136000000.0,,-98000000.0,,-85.9,-79.1,-23.9,-35.93,-31.94,-23.13,-18.8,-16.8,,0.0,,,,803000000.0,,734000000.0,,90.0,5089700.0,94.0,,,,,,,,
2413,エムスリー株式会社,2019-03-31,Q3,tanshin,IFRS,連,2019-01-25,TD2019012500064,68560000000.0,21.8,83674000000.0,22.0,113350000000.0,20.0,20592000000.0,,22958000000.0,11.5,31720000000.0,15.4,72.4,30.0,27.4,28.0,,,,,,,,,20698000000.0,,23109000000.0,11.6,31700000000.0,15.4,13388000000.0,,14574000000.0,8.9,20960000000.0,15.6,19.5,17.4,18.5,20.67,22.5,32.36,15.6,18.1,,,,,,126568000000.0,,96513000000.0,,73.8,,,,,,,,,,
2413,エムスリー株式会社,2019-03-31,Q3,tanshin,IFRS,単,2019-01-25,TD2019012500064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647951800.0,65002.0,,,,,,,,
2656,株式会社ベクター,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500121,937000000.0,-17.6,764000000.0,-18.4,1135000000.0,-11.0,-175000000.0,,-194000000.0,,-165000000.0,,117.6,-18.7,-25.4,-14.5,,,-165000000.0,,-193000000.0,,-164000000.0,,,,,,,,-167000000.0,,-196000000.0,,-167000000.0,,-17.8,-25.7,-14.7,-12.1,-14.15,-12.03,-18.3,-14.8,,0.0,,,,1313000000.0,,1070000000.0,,81.5,14007000.0,127200.0,,,,,,,,
2664,株式会社 カワチ薬品>>,2019-03-15,Q3,tanshin,日本基準,連,2019-01-23,TD2019012300043,202657000000.0,1.0,200484000000.0,-1.1,267500000000.0,-0.3,3834000000.0,-15.2,3459000000.0,-9.8,4200000000.0,-8.2,82.4,1.9,1.7,1.6,,,4985000000.0,-9.3,4763000000.0,-4.5,5900000000.0,-2.6,,,,,,,3207000000.0,-5.2,2912000000.0,-9.2,3500000000.0,-9.5,1.6,1.5,1.3,140.72,127.72,153.48,3.1,1.8,,,,,,189886000000.0,,93774000000.0,,49.4,,,,,,,,,,
2664,株式会社 カワチ薬品>>,2019-03-15,Q3,tanshin,日本基準,単,2019-01-23,TD2019012300043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,24583420.0,1778485.0,,,,,,,,
2804,ブルドックソース株式会社,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500046,12772000000.0,0.6,12981000000.0,1.6,17200000000.0,2.4,668000000.0,-19.2,356000000.0,-46.7,460000000.0,-36.5,77.4,5.2,2.7,2.7,,,1060000000.0,1.7,671000000.0,-36.6,900000000.0,-28.2,,,,,,,729000000.0,6.0,630000000.0,-13.6,750000000.0,-15.1,5.7,4.9,4.4,108.25,93.98,111.84,3.2,1.4,,,,,,25918000000.0,,19884000000.0,,76.7,,,,,,,,,,
2804,ブルドックソース株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,6977440.0,271464.0,,,,,,,,
3529,アツギ株式会社,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500057,18424000000.0,2.9,17180000000.0,-6.7,23000000000.0,-4.0,686000000.0,-39.5,136000000.0,-80.1,500000000.0,-41.1,27.2,3.7,0.8,2.2,,,896000000.0,-28.4,333000000.0,-62.8,600000000.0,-28.0,,,,,,,658000000.0,-19.3,109000000.0,-83.3,350000000.0,-39.6,3.6,0.6,1.5,40.58,6.85,21.83,0.2,0.2,,,,,,54950000000.0,,47136000000.0,,85.5,,,,,,,,,,
3529,アツギ株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,17319568.0,1285506.0,,,,,,,,
3658,株式会社イーブックイニシアティブジャパン,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500073,,,10231000000.0,,14000000000.0,17.8,,,650000000.0,,560000000.0,99.6,116.1,,6.4,4.0,,,,,648000000.0,,560000000.0,94.7,,,,,,,,,238000000.0,,180000000.0,12.9,,2.3,1.3,,42.84,32.31,6.9,10.7,,0.0,,,,6085000000.0,,3462000000.0,,56.4,5592600.0,78.0,,,,,,,,
3969,Ｍ－エイトレッド,2019-03-31,Q3,tanshin,日本基準,単,2019-01-24,TD2019012400063,781000000.0,12.9,1024000000.0,31.0,1340000000.0,21.0,209000000.0,5.3,376000000.0,79.9,441000000.0,36.0,85.3,26.8,36.7,32.9,,,209000000.0,10.9,372000000.0,78.0,420000000.0,29.5,,,,,,,136000000.0,9.8,244000000.0,78.8,276000000.0,23.8,17.4,23.8,20.6,20.61,35.85,40.33,15.0,16.6,,11.0,,,,2268000000.0,,1622000000.0,,71.5,6843000.0,39.0,,,,,,,,
4556,株式会社カイノス,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500029,3297000000.0,-8.6,3635000000.0,10.3,4800000000.0,9.4,401000000.0,-10.8,562000000.0,40.2,500000000.0,9.6,112.4,12.2,15.5,10.4,,,422000000.0,-5.1,578000000.0,37.2,500000000.0,4.8,,,,,,,273000000.0,-10.1,394000000.0,44.3,350000000.0,25.9,8.3,10.8,7.3,65.35,98.96,89.39,10.8,9.2,,12.5,,,,6140000000.0,,3646000000.0,,59.4,4558860.0,869656.0,,,,,,,,
4765,モーニングスター株式会社,2019-03-31,Q3,tanshin,日本基準,連,2019-01-24,TD2019012400031,4337000000.0,23.9,4615000000.0,6.4,,,1172000000.0,1.8,1294000000.0,10.3,,,,27.0,28.0,,,,1270000000.0,6.8,1397000000.0,10.0,,,,,,,,,862000000.0,7.4,962000000.0,11.6,,,19.9,20.8,,10.55,11.63,,10.6,12.9,,,,,,9999000000.0,,9081000000.0,,90.8,,,,,,,,,,
4765,モーニングスター株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-24,TD2019012400031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83973600.0,1081170.0,,,,,,,,
4832,ＪＦＥシステムズ株式会社,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500078,29024000000.0,3.5,30812000000.0,6.2,43000000000.0,6.7,2015000000.0,35.4,2533000000.0,25.7,3120000000.0,11.2,81.2,6.9,8.2,7.3,,,2030000000.0,35.8,2519000000.0,24.1,3100000000.0,10.0,,,,,,,669000000.0,-10.3,1691000000.0,152.9,2040000000.0,66.8,2.3,5.5,4.7,85.14,215.31,259.78,11.6,9.7,,,,,,26130000000.0,,15078000000.0,,55.9,,,,,,,,,,
4832,ＪＦＥシステムズ株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,7853000.0,400.0,,,,,,,,
4838,株式会社スペースシャワーネットワーク>>,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500079,11472000000.0,4.4,11163000000.0,-2.7,14833000000.0,-1.7,607000000.0,56.8,231000000.0,-61.9,249000000.0,-57.8,92.8,5.3,2.1,1.7,,,624000000.0,52.2,244000000.0,-60.8,277000000.0,-56.5,,,,,,,396000000.0,55.8,157000000.0,-60.4,163000000.0,-51.1,3.5,1.4,1.1,35.02,13.86,14.39,3.5,3.0,,,,,,7735000000.0,,4442000000.0,,57.4,,,,,,,,,,
4838,株式会社スペースシャワーネットワーク>>,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,11330800.0,3.0,,,,,,,,
5204,石塚硝子株式会社>>,2019-03-20,Q3,tanshin,日本基準,連,2019-01-24,TD2019012400038,55155000000.0,-0.9,55758000000.0,1.1,72000000000.0,1.5,2457000000.0,-14.2,2209000000.0,-10.1,2300000000.0,-10.9,96.0,4.5,4.0,3.2,,,2162000000.0,-11.5,2099000000.0,-2.9,1900000000.0,-5.0,,,,,,,1926000000.0,31.8,1514000000.0,-21.4,1400000000.0,-16.1,3.5,2.7,1.9,550.74,433.27,400.39,6.4,2.9,,,,,,77159000000.0,,26756000000.0,,30.8,,,,,,,,,,
5204,石塚硝子株式会社>>,2019-03-20,Q3,tanshin,日本基準,単,2019-01-24,TD2019012400038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,3629554.0,133010.0,,,,,,,,
