code,company,fiscal_year,quarter,file_type,account_type,consoli_type,submit,zip_id,sales_prior,sales_pct_yoy_prior,sales_current,sales_pct_yoy_current,sales_next,sales_pct_yoy_next,operating_income_prior,operating_income_pct_yoy_prior,operating_income_current,operating_income_pct_yoy_current,operating_income_next,operating_income_pct_yoy_next,operating_income_progress_ratio,operating_income_on_sales_ratio_prior,operating_income_on_sales_ratio_current,operating_income_on_sales_ratio_next,operating_cf_margin_prior,operating_cf_margin_current,ordinary_income_prior,ordinary_income_pct_yoy_prior,ordinary_income_current,ordinary_income_pct_yoy_current,ordinary_income_next,ordinary_income_pct_yoy_next,pretax_income_prior,pretax_income_pct_yoy_prior,pretax_income_current,pretax_income_pct_yoy_current,pretax_income_next,pretax_income_pct_yoy_next,net_income_prior,net_income_pct_yoy_prior,net_income_current,net_income_pct_yoy_current,net_income_next,net_income_pct_yoy_next,net_income_on_sales_prior,net_income_on_sales_current,net_income_on_sales_next,eps_prior,eps_current,eps_next,roe,roa,dividend_prior,dividend_next,payout_ratio_prior,payout_ratio_next,total_assets_prior,total_assets_current,net_assets_prior,net_assets_current,capital_ratio_prior,capital_ratio_current,outstanding_stock_current,treasury_stock_current,operating_cf_prior,operating_cf_current,investing_cf_prior,investing_cf_current,financing_cf_prior,financing_cf_current,cash_prior,cash_current
5279,日本興業株式会社,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500177,8186000000.0,-9.3,7692000000.0,-6.0,11000000000.0,-10.4,-33000000.0,,-17000000.0,,200000000.0,-11.8,-8.5,-0.4,-0.2,1.8,,,-3000000.0,,16000000.0,,230000000.0,-12.6,,,,,,,-20000000.0,,-11000000.0,,110000000.0,-25.2,-0.2,-0.1,1.0,-7.16,-3.93,37.98,-0.2,-0.1,,,,,,13866000000.0,,6329000000.0,,45.5,,,,,,,,,,
5279,日本興業株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,3064200.0,167990.0,,,,,,,,
5423,東京製鐵株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-22,TD2019012200060,121256000000.0,36.6,154417000000.0,27.3,207000000000.0,26.1,10514000000.0,24.9,11152000000.0,6.1,15000000000.0,43.2,74.3,8.7,7.2,7.2,,,10729000000.0,21.3,11898000000.0,10.9,15500000000.0,31.3,,,,,,,10037000000.0,19.5,10574000000.0,5.4,14500000000.0,28.3,8.3,6.8,7.0,69.87,74.93,103.65,8.5,6.0,,12.0,,,,186760000000.0,,123938000000.0,,66.4,155064249.0,15164905.0,,,,,,,,
5609,日本鋳造株式会社,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500084,9923000000.0,45.1,10154000000.0,2.3,13000000000.0,-2.5,670000000.0,,507000000.0,-24.2,700000000.0,-8.2,72.4,6.8,5.0,5.4,,,682000000.0,,538000000.0,-21.1,700000000.0,-9.0,,,,,,,558000000.0,,368000000.0,-34.0,500000000.0,-16.5,5.6,3.6,3.8,108.91,71.88,97.43,3.6,2.4,,,,,,21132000000.0,,10198000000.0,,48.3,,,,,,,,,,
5609,日本鋳造株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,5135150.0,3395.0,,,,,,,,
5906,エムケー精工株式会社,2019-03-20,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500086,15990000000.0,-2.2,18420000000.0,15.2,23000000000.0,12.3,1209000000.0,-7.0,1367000000.0,13.1,1000000000.0,17.9,136.7,7.6,7.4,4.3,,,1211000000.0,-7.1,1425000000.0,17.7,1000000000.0,15.8,,,,,,,783000000.0,-5.3,1042000000.0,33.1,700000000.0,46.5,4.9,5.7,3.0,54.01,71.9,48.27,9.0,5.1,,,,,,26913000000.0,,11562000000.0,,43.0,,,,,,,,,,
5906,エムケー精工株式会社,2019-03-20,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,15595050.0,1093905.0,,,,,,,,
5990,株式会社 スーパーツール,2019-03-15,Q3,tanshin,日本基準,連,2019-01-22,TD2019012200066,5349000000.0,-15.4,5415000000.0,1.2,7600000000.0,12.9,588000000.0,-6.3,683000000.0,16.1,900000000.0,19.5,75.9,11.0,12.6,11.8,,,519000000.0,-8.2,617000000.0,18.8,800000000.0,21.5,,,,,,,341000000.0,-10.2,421000000.0,23.5,540000000.0,32.0,6.4,7.8,7.1,164.29,203.91,261.14,4.9,5.7,,,,,,12028000000.0,,8582000000.0,,71.4,,,,,,,,,,
5990,株式会社 スーパーツール,2019-03-15,Q3,tanshin,日本基準,単,2019-01-22,TD2019012200066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2084304.0,38589.0,,,,,,,,
6200,株式会社インソース>>,2019-09-30,Q1,tanshin,日本基準,連,2019-01-25,TD2019012500201,1055000000.0,19.3,1294000000.0,22.6,5600000000.0,23.4,244000000.0,65.0,314000000.0,28.9,1160000000.0,23.8,27.1,23.1,24.3,20.7,,,245000000.0,63.0,314000000.0,28.3,1150000000.0,23.3,,,,,,,165000000.0,65.7,207000000.0,25.3,750000000.0,18.1,15.6,16.0,13.4,10.26,12.3,43.99,7.1,8.0,,,,,,3942000000.0,,2911000000.0,,73.8,,,,,,,,,,
6200,株式会社インソース>>,2019-09-30,Q1,tanshin,日本基準,単,2019-01-25,TD2019012500201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,17048600.0,101231.0,,,,,,,,
6594,日本電産株式会社>>,2019-03-31,Q3,tanshin,IFRS,連,2019-01-23,TD2019012300070,1105921000000.0,27.4,1154306000000.0,4.4,1450000000000.0,-2.6,126160000000.0,18.8,129367000000.0,2.5,145000000000.0,-13.1,89.2,11.4,11.2,10.0,,,,,,,,,118756000000.0,10.2,131298000000.0,10.6,140000000000.0,-14.5,93984000000.0,15.2,103214000000.0,9.8,112000000000.0,-14.4,8.5,8.9,7.7,317.43,349.9,379.91,10.5,6.9,,,,,,1882860000000.0,,1002645000000.0,,52.3,,,,,,,,,,
6594,日本電産株式会社>>,2019-03-31,Q3,tanshin,IFRS,単,2019-01-23,TD2019012300070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,298142234.0,3847459.0,,,,,,,,
6730,株式会社アクセル>>,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500135,4613000000.0,-31.4,3618000000.0,-21.6,5000000000.0,-41.0,-446000000.0,,-1488000000.0,,-1700000000.0,,87.5,-9.7,-41.1,-34.0,,,-432000000.0,,-1477000000.0,,-1700000000.0,,,,,,,,-145000000.0,,-1805000000.0,,-2000000000.0,,-3.1,-49.9,-40.0,-12.96,-161.36,-178.76,-19.0,-14.8,,0.0,,,,10048000000.0,,9486000000.0,,94.4,11187749.0,152.0,,,,,,,,
6747,ＫＩホールディングス株式会社,2019-09-30,Q1,tanshin,日本基準,連,2019-01-24,TD2019012400110,10869000000.0,6.4,10933000000.0,0.6,47000000000.0,0.5,1161000000.0,121.1,1331000000.0,14.6,4400000000.0,-10.1,30.2,10.7,12.2,9.4,,,1245000000.0,82.5,1462000000.0,17.4,4300000000.0,-11.8,,,,,,,654000000.0,146.4,737000000.0,12.6,2700000000.0,-13.5,6.0,6.7,5.7,15.81,17.8,65.17,5.0,2.6,,,,,,51358000000.0,,18923000000.0,,28.7,,,,,,,,,,
6747,ＫＩホールディングス株式会社,2019-09-30,Q1,tanshin,日本基準,単,2019-01-24,TD2019012400110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41587061.0,156990.0,,,,,,,,
6755,株式会社 富士通ゼネラル,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500160,168064000000.0,-3.1,161890000000.0,-3.7,255000000000.0,-2.8,7930000000.0,-50.2,3750000000.0,-52.7,15000000000.0,-25.8,25.0,4.7,2.3,5.9,,,8119000000.0,-43.6,4863000000.0,-40.1,15000000000.0,-19.1,,,,,,,5507000000.0,100.1,2606000000.0,-52.7,10000000000.0,-22.2,3.3,1.6,3.9,52.64,24.91,95.58,2.5,2.0,,,,,,190364000000.0,,106338000000.0,,53.9,,,,,,,,,,
6755,株式会社 富士通ゼネラル,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,109277299.0,4650358.0,,,,,,,,
6866,日置電機株式会社>>,2018-12-31,Q4,tanshin,日本基準,連,2019-01-25,TD2019012500090,20891000000.0,15.2,23288000000.0,11.5,25000000000.0,7.3,2503000000.0,49.2,3314000000.0,32.4,3850000000.0,16.2,,12.0,14.2,15.4,16.7,16.5,2630000000.0,56.4,3403000000.0,29.4,3980000000.0,16.9,,,,,,,1998000000.0,71.2,2774000000.0,38.8,3050000000.0,9.9,9.6,11.9,12.2,146.67,203.63,223.83,11.5,12.1,,,40.9,40.2,25650000000.0,27365000000.0,22786000000.0,24216000000.0,88.8,88.5,,,3499000000.0,3845000000.0,-1166000000.0,-121000000.0,-612000000.0,-884000000.0,5768000000.0,8504000000.0
6882,株式会社三社電機製作所>>,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500091,17666000000.0,31.0,18049000000.0,2.2,24800000000.0,4.6,1075000000.0,,1424000000.0,32.4,1850000000.0,25.5,77.0,6.1,7.9,7.5,,,1104000000.0,,1393000000.0,26.2,1800000000.0,21.5,,,,,,,811000000.0,,1044000000.0,28.7,1350000000.0,26.8,4.6,5.8,5.4,56.02,72.61,94.2,5.4,5.1,,,,,,27836000000.0,,19489000000.0,,70.0,,,,,,,,,,
6882,株式会社三社電機製作所>>,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14950000.0,807120.0,,,,,,,,
6961,株式会社　エンプラス>>,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500093,25678000000.0,3.0,23781000000.0,-7.4,34000000000.0,2.1,3772000000.0,7.4,1542000000.0,-59.1,3300000000.0,-24.5,46.7,14.7,6.5,9.7,,,3603000000.0,0.3,1844000000.0,-48.8,3300000000.0,-14.2,,,,,,,2544000000.0,-46.7,1096000000.0,-56.9,2300000000.0,-9.3,9.9,4.6,6.8,198.85,85.67,179.76,2.1,2.7,,,,,,56840000000.0,,52355000000.0,,91.5,,,,,,,,,,
6961,株式会社　エンプラス>>,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,18232897.0,5437856.0,,,,,,,,
6999,ＫＯＡ株式会社>>,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500094,39088000000.0,17.4,42375000000.0,8.4,55900000000.0,6.4,4307000000.0,119.5,4393000000.0,2.0,5540000000.0,-3.7,79.3,11.0,10.4,9.9,,,4595000000.0,99.9,5007000000.0,9.0,6120000000.0,4.8,,,,,,,3333000000.0,60.6,267000000.0,-92.0,950000000.0,-78.3,8.5,0.6,1.7,90.82,7.29,25.86,0.5,5.7,,,,,,77632000000.0,,59142000000.0,,76.2,,,,,,,,,,
6999,ＫＯＡ株式会社>>,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,40479724.0,3716483.0,,,,,,,,
7276,株式会社 小糸製作所,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500162,640701000000.0,6.2,607820000000.0,-5.1,816000000000.0,-3.9,74344000000.0,16.9,72588000000.0,-2.4,98000000000.0,-5.6,74.1,11.6,11.9,12.0,,,78879000000.0,19.5,75751000000.0,-4.0,101000000000.0,-6.4,,,,,,,47517000000.0,19.0,51006000000.0,7.3,69000000000.0,-17.3,7.4,8.4,8.5,295.65,317.34,429.29,11.6,10.3,,,,,,707613000000.0,,477427000000.0,,62.0,,,,,,,,,,
7276,株式会社 小糸製作所,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160789436.0,58220.0,,,,,,,,
7404,昭和飛行機工業株式会社,2019-03-31,Q3,tanshin,日本基準,連,2019-01-25,TD2019012500098,17377000000.0,4.3,17820000000.0,2.5,25000000000.0,3.0,1534000000.0,31.8,1655000000.0,7.9,2200000000.0,1.5,75.2,8.8,9.3,8.8,,,1347000000.0,21.6,1602000000.0,19.0,1900000000.0,3.5,,,,,,,868000000.0,19.5,984000000.0,13.4,1000000000.0,-6.3,5.0,5.5,4.0,26.62,30.17,30.66,2.9,2.6,,,,,,63829000000.0,,34313000000.0,,53.8,,,,,,,,,,
7404,昭和飛行機工業株式会社,2019-03-31,Q3,tanshin,日本基準,単,2019-01-25,TD2019012500098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,33606132.0,991410.0,,,,,,,,
