code,company,fiscal_year,quarter,file_type,account_type,consoli_type,submit,zip_id,sales_prior,sales_pct_yoy_prior,sales_current,sales_pct_yoy_current,sales_next,sales_pct_yoy_next,operating_income_prior,operating_income_pct_yoy_prior,operating_income_current,operating_income_pct_yoy_current,operating_income_next,operating_income_pct_yoy_next,operating_income_progress_ratio,operating_income_on_sales_ratio_prior,operating_income_on_sales_ratio_current,operating_income_on_sales_ratio_next,operating_cf_margin_prior,operating_cf_margin_current,ordinary_income_prior,ordinary_income_pct_yoy_prior,ordinary_income_current,ordinary_income_pct_yoy_current,ordinary_income_next,ordinary_income_pct_yoy_next,pretax_income_prior,pretax_income_pct_yoy_prior,pretax_income_current,pretax_income_pct_yoy_current,pretax_income_next,pretax_income_pct_yoy_next,net_income_prior,net_income_pct_yoy_prior,net_income_current,net_income_pct_yoy_current,net_income_next,net_income_pct_yoy_next,net_income_on_sales_prior,net_income_on_sales_current,net_income_on_sales_next,eps_prior,eps_current,eps_next,roe,roa,dividend_prior,dividend_next,payout_ratio_prior,payout_ratio_next,total_assets_prior,total_assets_current,net_assets_prior,net_assets_current,capital_ratio_prior,capital_ratio_current,outstanding_stock_current,treasury_stock_current,operating_cf_prior,operating_cf_current,investing_cf_prior,investing_cf_current,financing_cf_prior,financing_cf_current,cash_prior,cash_current
2186,ソーバル株式会社,2019-02-28,Q3,tanshin,日本基準,連,2018-12-28,TD2018122800107,6104000000.0,3.5,6099000000.0,-0.1,8350000000.0,1.5,433000000.0,19.3,438000000.0,1.4,625000000.0,6.7,70.1,7.1,7.2,7.5,,,434000000.0,17.6,449000000.0,3.2,632000000.0,7.5,,,,,,,289000000.0,14.0,295000000.0,2.2,427000000.0,0.4,4.7,4.8,5.1,35.39,36.16,52.28,9.5,11.2,,,,,,3911000000.0,,3103000000.0,,79.4,,,,,,,,,,
2186,ソーバル株式会社,2019-02-28,Q3,tanshin,日本基準,単,2018-12-28,TD2018122800107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,8167498.0,136.0,,,,,,,,
2228,株式会社 シベール,2019-08-31,Q1,tanshin,日本基準,単,2018-12-28,TD2018122800064,596000000.0,-15.1,598000000.0,0.3,2825000000.0,5.8,-105000000.0,,-56000000.0,,24000000.0,,-233.3,-17.6,-9.4,0.8,,,-103000000.0,,-55000000.0,,25000000.0,,,,,,,,-78000000.0,,-41000000.0,,18000000.0,,-13.1,-6.9,0.6,-54.43,-28.57,12.53,-5.0,-2.0,,0.0,,,,2859000000.0,,822000000.0,,28.8,1806800.0,370102.0,,,,,,,,
2354,安川情報システム株式会社,2019-02-28,Q3,tanshin,日本基準,連,2018-12-25,TD2018122500202,8978000000.0,-2.4,8582000000.0,-4.4,13600000000.0,,100000000.0,-74.2,121000000.0,20.3,680000000.0,,17.8,1.1,1.4,5.0,,,102000000.0,-73.5,128000000.0,25.3,680000000.0,,,,,,,,21000000.0,-93.1,77000000.0,263.6,430000000.0,,0.2,0.9,3.2,1.18,4.28,23.86,2.9,1.5,,,,,,8198000000.0,,2801000000.0,,32.5,,,,,,,,,,
2354,安川情報システム株式会社,2019-02-28,Q3,tanshin,日本基準,単,2018-12-25,TD2018122500202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,18030400.0,304.0,,,,,,,,
2484,夢の街創造委員会株式会社,2019-08-31,Q1,tanshin,日本基準,連,2018-12-27,TD2018122700130,1206000000.0,-0.3,1433000000.0,18.8,7681000000.0,41.4,205000000.0,-2.5,102000000.0,-50.1,100000000.0,-88.1,102.0,17.0,7.1,1.3,,,210000000.0,0.9,111000000.0,-46.8,117000000.0,-86.2,,,,,,,141000000.0,18.7,91000000.0,-35.4,79000000.0,-85.8,11.7,6.4,1.0,3.5,2.25,1.96,2.8,1.6,,,,,,6404000000.0,,3289000000.0,,51.3,,,,,,,,,,
2484,夢の街創造委員会株式会社,2019-08-31,Q1,tanshin,日本基準,単,2018-12-27,TD2018122700130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44390400.0,3609674.0,,,,,,,,
2685,株式会社アダストリア,2019-02-28,Q3,tanshin,日本基準,連,2018-12-28,TD2018122800066,163269000000.0,9.6,162345000000.0,-0.6,227000000000.0,1.9,6739000000.0,-50.6,5700000000.0,-15.4,8400000000.0,67.8,67.9,4.1,3.5,3.7,,,7087000000.0,-48.6,5832000000.0,-17.7,8700000000.0,60.3,,,,,,,6444000000.0,-42.3,3081000000.0,-52.2,4400000000.0,409.4,3.9,1.9,1.9,136.99,65.48,93.54,5.9,5.8,,,,,,98959000000.0,,52284000000.0,,52.8,,,,,,,,,,
2685,株式会社アダストリア,2019-02-28,Q3,tanshin,日本基準,単,2018-12-28,TD2018122800066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,48800000.0,1736593.0,,,,,,,,
2742,株式会社 ハローズ,2019-02-28,Q3,tanshin,日本基準,単,2018-12-28,TD2018122800068,90017000000.0,5.8,95093000000.0,5.6,127200000000.0,4.8,3342000000.0,2.7,3683000000.0,10.2,5050000000.0,2.8,72.9,3.7,3.9,4.0,,,3319000000.0,4.1,3693000000.0,11.3,5000000000.0,2.1,,,,,,,2221000000.0,-1.3,2497000000.0,12.4,3300000000.0,-3.0,2.5,2.6,2.6,112.49,126.33,166.94,8.1,5.8,,26.0,,,,62961000000.0,,31002000000.0,,49.1,19864600.0,93927.0,,,,,,,,
2761,トシン・グループ株式会社,2019-05-20,Q2,tanshin,日本基準,連,2018-12-28,TD2018122800034,21843000000.0,-0.5,22455000000.0,2.8,43500000000.0,0.5,1197000000.0,15.6,1244000000.0,3.9,2285000000.0,0.4,54.4,5.5,5.5,5.3,4.8,4.7,1612000000.0,10.7,1676000000.0,4.0,3080000000.0,0.5,,,,,,,1055000000.0,14.1,1107000000.0,4.9,2010000000.0,0.1,4.8,4.9,4.6,125.55,133.55,240.62,3.1,2.9,,,,,,43022000000.0,,35838000000.0,,83.2,,,1051482000.0,1049514000.0,-14618000.0,-100327000.0,-588776000.0,-964672000.0,19618403000.0,20667323000.0
2761,トシン・グループ株式会社,2019-05-20,Q2,tanshin,日本基準,単,2018-12-28,TD2018122800034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,11405400.0,3165025.0,,,,,,,,
2778,パレモ・ホールディングス株式会社,2019-02-20,Q3,tanshin,日本基準,連,2018-12-25,TD2018122500068,17477000000.0,,17149000000.0,-1.9,23450000000.0,0.8,616000000.0,,454000000.0,-26.3,650000000.0,-12.3,69.8,3.5,2.6,2.8,,,646000000.0,,465000000.0,-28.0,665000000.0,-13.4,,,,,,,807000000.0,,392000000.0,-51.4,520000000.0,-45.2,4.6,2.3,2.2,67.07,32.62,43.18,11.7,4.0,,,,,,11470000000.0,,3356000000.0,,29.2,,,,,,,,,,
2778,パレモ・ホールディングス株式会社,2019-02-20,Q3,tanshin,日本基準,単,2018-12-25,TD2018122500068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,12051384.0,9751.0,,,,,,,,
2925,株式会社ピックルスコーポレーション>>,2019-02-28,Q3,tanshin,日本基準,連,2018-12-25,TD2018122500159,28136000000.0,2.7,30984000000.0,10.1,40386000000.0,7.4,1096000000.0,65.0,1160000000.0,5.9,1301000000.0,15.0,89.2,3.9,3.7,3.2,,,1174000000.0,61.5,1277000000.0,8.7,1413000000.0,14.6,,,,,,,776000000.0,59.9,758000000.0,-2.3,841000000.0,-3.5,2.8,2.4,2.1,131.56,118.53,131.53,6.5,5.2,,,,,,22484000000.0,,11757000000.0,,52.0,,,,,,,,,,
2925,株式会社ピックルスコーポレーション>>,2019-02-28,Q3,tanshin,日本基準,単,2018-12-25,TD2018122500159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,6398000.0,257.0,,,,,,,,
3035,ケイティケイ株式会社,2019-08-20,Q1,tanshin,日本基準,連,2018-12-25,TD2018122500121,3998000000.0,2.1,3987000000.0,-0.3,16905000000.0,-0.5,79000000.0,70.6,102000000.0,29.3,243000000.0,-2.6,42.0,2.0,2.6,1.4,,,94000000.0,48.7,115000000.0,21.8,272000000.0,-2.6,,,,,,,68000000.0,37.2,77000000.0,14.5,159000000.0,-8.7,1.7,1.9,0.9,11.89,13.62,27.78,2.6,1.3,,,,,,8103000000.0,,2991000000.0,,36.9,,,,,,,,,,
3035,ケイティケイ株式会社,2019-08-20,Q1,tanshin,日本基準,単,2018-12-25,TD2018122500121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,5725000.0,2864.0,,,,,,,,
3050,ＤＣＭホールディングス株式会社,2019-02-28,Q3,tanshin,日本基準,連,2018-12-27,TD2018122700110,339878000000.0,0.7,343193000000.0,1.0,454100000000.0,2.4,17403000000.0,-0.6,18429000000.0,5.9,21000000000.0,7.7,87.8,5.1,5.4,4.6,,,16786000000.0,0.9,17452000000.0,4.0,20200000000.0,8.5,,,,,,,10785000000.0,6.8,11437000000.0,6.1,11800000000.0,4.3,3.2,3.3,2.6,76.43,83.7,85.5,6.0,4.3,,,,,,429334000000.0,,189732000000.0,,44.2,,,,,,,,,,
3050,ＤＣＭホールディングス株式会社,2019-02-28,Q3,tanshin,日本基準,単,2018-12-27,TD2018122700110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,142475659.0,8252311.0,,,,,,,,
3086,Ｊ.　フロント　リテイリング株式会社>>,2019-02-28,Q3,tanshin,IFRS,連,2018-12-27,TD2018122700070,342495000000.0,5.6,333608000000.0,-2.6,475000000000.0,1.1,37860000000.0,29.2,33853000000.0,-10.6,48500000000.0,-2.1,69.8,11.1,10.1,10.2,,,,,,,,,37727000000.0,25.7,34898000000.0,-7.5,49600000000.0,2.8,23713000000.0,24.5,22077000000.0,-6.9,30500000000.0,7.1,6.9,6.6,6.4,90.67,84.37,116.59,5.4,3.2,,,,,,1057636000000.0,,465659000000.0,,38.7,,,,,,,,,,
3086,Ｊ.　フロント　リテイリング株式会社>>,2019-02-28,Q3,tanshin,IFRS,単,2018-12-27,TD2018122700070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,270565764.0,8885516.0,,,,,,,,
